Token,Definition
trace,"...pattern completion – responses to similar items as if repeated..|overlapping input is used
at retrieval as a cue to drive reinstatement of existing traces via pattern completion, increasing overlap between incoming and existing representations"
via,"...pattern completion – responses to similar items as if repeated..|overlapping input is used
at retrieval as a cue to drive reinstatement of existing traces via pattern completion, increasing overlap between incoming and existing representations"
pattern,"...pattern completion – responses to similar items as if repeated..|overlapping input is used
at retrieval as a cue to drive reinstatement of existing traces via pattern completion, increasing overlap between incoming and existing representations"
completion,"...pattern completion – responses to similar items as if repeated..|overlapping input is used
at retrieval as a cue to drive reinstatement of existing traces via pattern completion, increasing overlap between incoming and existing representations"
increasing,"...pattern completion – responses to similar items as if repeated..|overlapping input is used
at retrieval as a cue to drive reinstatement of existing traces via pattern completion, increasing overlap between incoming and existing representations"
overlap,"...pattern completion – responses to similar items as if repeated..|overlapping input is used
at retrieval as a cue to drive reinstatement of existing traces via pattern completion, increasing overlap between incoming and existing representations"
between,"...pattern completion – responses to similar items as if repeated..|overlapping input is used
at retrieval as a cue to drive reinstatement of existing traces via pattern completion, increasing overlap between incoming and existing representations"
incoming,"...pattern completion – responses to similar items as if repeated..|overlapping input is used
at retrieval as a cue to drive reinstatement of existing traces via pattern completion, increasing overlap between incoming and existing representations"
existing,"...pattern completion – responses to similar items as if repeated..|overlapping input is used
at retrieval as a cue to drive reinstatement of existing traces via pattern completion, increasing overlap between incoming and existing representations"
representation,"...pattern completion – responses to similar items as if repeated..|overlapping input is used
at retrieval as a cue to drive reinstatement of existing traces via pattern completion, increasing overlap between incoming and existing representations"
ability,"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input."
retrieve,"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input."
memory,"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input."
overlap,"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input."
current,"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input."
experience,"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input."
process,"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input."
known,"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input."
pattern,"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input."
completion,"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input."
successful,"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input."
memory,"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input."
retrieval,"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input."
involves,"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input."
reinstatement,"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input."
memory,"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input."
representation,"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input."
through,"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input."
process,"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input."
known,"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input."
pattern,"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input."
completion,"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input."
specifically,"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input."
hippocampus,"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input."
thought,"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input."
act,"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input."
autoassociative,"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input."
network,"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input."
reinstates,"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input."
completememory,"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input."
representation,"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input."
partial,"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input."
degraded,"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input."
input,"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input."
coherence, This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).
allows, This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).
reconstruction, This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).
different, This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).
aspect, This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).
experience, This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).
when, This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).
triggered, This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).
cue, This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).
related, This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).
past, This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).
event—a, This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).
process, This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).
pattern, This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).
completion, This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).
pattern, This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).
completion, This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).
allows, This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).
recovery, This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).
entire, This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).
event, This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).
basis, This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).
partial, This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).
cue, This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).
so, This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).
all, This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).
element, This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).
within, This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).
event, This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).
retrieved, This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).
not, This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).
retrieved, This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).
pattern,"Pattern completion is the process of restoring entire and accurate neural
representations of such stimuli when presented with a partial or degraded cue."
completion,"Pattern completion is the process of restoring entire and accurate neural
representations of such stimuli when presented with a partial or degraded cue."
process,"Pattern completion is the process of restoring entire and accurate neural
representations of such stimuli when presented with a partial or degraded cue."
restoring,"Pattern completion is the process of restoring entire and accurate neural
representations of such stimuli when presented with a partial or degraded cue."
entire,"Pattern completion is the process of restoring entire and accurate neural
representations of such stimuli when presented with a partial or degraded cue."
accurate,"Pattern completion is the process of restoring entire and accurate neural
representations of such stimuli when presented with a partial or degraded cue."
neural,"Pattern completion is the process of restoring entire and accurate neural
representations of such stimuli when presented with a partial or degraded cue."
representation,"Pattern completion is the process of restoring entire and accurate neural
representations of such stimuli when presented with a partial or degraded cue."
stimulus,"Pattern completion is the process of restoring entire and accurate neural
representations of such stimuli when presented with a partial or degraded cue."
when,"Pattern completion is the process of restoring entire and accurate neural
representations of such stimuli when presented with a partial or degraded cue."
presented,"Pattern completion is the process of restoring entire and accurate neural
representations of such stimuli when presented with a partial or degraded cue."
partial,"Pattern completion is the process of restoring entire and accurate neural
representations of such stimuli when presented with a partial or degraded cue."
degraded,"Pattern completion is the process of restoring entire and accurate neural
representations of such stimuli when presented with a partial or degraded cue."
cue,"Pattern completion is the process of restoring entire and accurate neural
representations of such stimuli when presented with a partial or degraded cue."
nan,
pattern,"...pattern completion – the retrieval of a previously encoded stimulus in response to partial input.|pattern completion, a complementary process by which specific
mnemonic representations are retrieved from incomplete input."
completion,"...pattern completion – the retrieval of a previously encoded stimulus in response to partial input.|pattern completion, a complementary process by which specific
mnemonic representations are retrieved from incomplete input."
–,"...pattern completion – the retrieval of a previously encoded stimulus in response to partial input.|pattern completion, a complementary process by which specific
mnemonic representations are retrieved from incomplete input."
retrieval,"...pattern completion – the retrieval of a previously encoded stimulus in response to partial input.|pattern completion, a complementary process by which specific
mnemonic representations are retrieved from incomplete input."
previously,"...pattern completion – the retrieval of a previously encoded stimulus in response to partial input.|pattern completion, a complementary process by which specific
mnemonic representations are retrieved from incomplete input."
encoded,"...pattern completion – the retrieval of a previously encoded stimulus in response to partial input.|pattern completion, a complementary process by which specific
mnemonic representations are retrieved from incomplete input."
stimulus,"...pattern completion – the retrieval of a previously encoded stimulus in response to partial input.|pattern completion, a complementary process by which specific
mnemonic representations are retrieved from incomplete input."
response,"...pattern completion – the retrieval of a previously encoded stimulus in response to partial input.|pattern completion, a complementary process by which specific
mnemonic representations are retrieved from incomplete input."
partial,"...pattern completion – the retrieval of a previously encoded stimulus in response to partial input.|pattern completion, a complementary process by which specific
mnemonic representations are retrieved from incomplete input."
inputpattern,"...pattern completion – the retrieval of a previously encoded stimulus in response to partial input.|pattern completion, a complementary process by which specific
mnemonic representations are retrieved from incomplete input."
completion,"...pattern completion – the retrieval of a previously encoded stimulus in response to partial input.|pattern completion, a complementary process by which specific
mnemonic representations are retrieved from incomplete input."
complementary,"...pattern completion – the retrieval of a previously encoded stimulus in response to partial input.|pattern completion, a complementary process by which specific
mnemonic representations are retrieved from incomplete input."
process,"...pattern completion – the retrieval of a previously encoded stimulus in response to partial input.|pattern completion, a complementary process by which specific
mnemonic representations are retrieved from incomplete input."
specific,"...pattern completion – the retrieval of a previously encoded stimulus in response to partial input.|pattern completion, a complementary process by which specific
mnemonic representations are retrieved from incomplete input."
mnemonic,"...pattern completion – the retrieval of a previously encoded stimulus in response to partial input.|pattern completion, a complementary process by which specific
mnemonic representations are retrieved from incomplete input."
representation,"...pattern completion – the retrieval of a previously encoded stimulus in response to partial input.|pattern completion, a complementary process by which specific
mnemonic representations are retrieved from incomplete input."
