Type_of_paper;Definition;Tokens;Cluster_of_token
Human_Study;"...the function of reproducing neural patterns with 
complete information from incomplete information and recalling the 
memory after memory learning is termed the pattern completion.";termed;
Human_Study;"...the function of reproducing neural patterns with 
complete information from incomplete information and recalling the 
memory after memory learning is termed the pattern completion.";pattern;
Human_Study;"...the function of reproducing neural patterns with 
complete information from incomplete information and recalling the 
memory after memory learning is termed the pattern completion.";completion;
Human_Study;...features of similar events cue retrievals, a process called pattern completion.|;feature;
Human_Study;...features of similar events cue retrievals, a process called pattern completion.|;similar;
Human_Study;...features of similar events cue retrievals, a process called pattern completion.|;event;
Human_Study;...features of similar events cue retrievals, a process called pattern completion.|;cue;
Human_Study;...features of similar events cue retrievals, a process called pattern completion.|;retrieval;
Human_Study;...features of similar events cue retrievals, a process called pattern completion.|;process;
Human_Study;...features of similar events cue retrievals, a process called pattern completion.|;called;
Human_Study;...features of similar events cue retrievals, a process called pattern completion.|;pattern;
Human_Study;...features of similar events cue retrievals, a process called pattern completion.|;completion;
Human_Study;"...presentation of a partial cue will result in pattern completion
and the complete retrieval of the stored representation.";presentation;
Human_Study;"...presentation of a partial cue will result in pattern completion
and the complete retrieval of the stored representation.";partial;
Human_Study;"...presentation of a partial cue will result in pattern completion
and the complete retrieval of the stored representation.";cue;
Human_Study;"...presentation of a partial cue will result in pattern completion
and the complete retrieval of the stored representation.";will;
Human_Study;"...presentation of a partial cue will result in pattern completion
and the complete retrieval of the stored representation.";result;
Human_Study;"...presentation of a partial cue will result in pattern completion
and the complete retrieval of the stored representation.";pattern;
Human_Study;"...presentation of a partial cue will result in pattern completion
and the complete retrieval of the stored representation.";completion;
Human_Study;"...presentation of a partial cue will result in pattern completion
and the complete retrieval of the stored representation.";complete;
Human_Study;"...presentation of a partial cue will result in pattern completion
and the complete retrieval of the stored representation.";retrieval;
Human_Study;"...presentation of a partial cue will result in pattern completion
and the complete retrieval of the stored representation.";stored;
Human_Study;"...presentation of a partial cue will result in pattern completion
and the complete retrieval of the stored representation.";representation;
Human_Study;At retrieval, a previously stored memory representation within CA3 can be reactivated through the process of pattern completion.;retrieval;
Human_Study;At retrieval, a previously stored memory representation within CA3 can be reactivated through the process of pattern completion.;previously;
Human_Study;At retrieval, a previously stored memory representation within CA3 can be reactivated through the process of pattern completion.;stored;
Human_Study;At retrieval, a previously stored memory representation within CA3 can be reactivated through the process of pattern completion.;memory;
Human_Study;At retrieval, a previously stored memory representation within CA3 can be reactivated through the process of pattern completion.;representation;
Human_Study;At retrieval, a previously stored memory representation within CA3 can be reactivated through the process of pattern completion.;within;
Human_Study;At retrieval, a previously stored memory representation within CA3 can be reactivated through the process of pattern completion.;ca3;
Human_Study;At retrieval, a previously stored memory representation within CA3 can be reactivated through the process of pattern completion.;reactivated;
Human_Study;At retrieval, a previously stored memory representation within CA3 can be reactivated through the process of pattern completion.;through;
Human_Study;At retrieval, a previously stored memory representation within CA3 can be reactivated through the process of pattern completion.;process;
Human_Study;At retrieval, a previously stored memory representation within CA3 can be reactivated through the process of pattern completion.;pattern;
Human_Study;At retrieval, a previously stored memory representation within CA3 can be reactivated through the process of pattern completion.;completion;
Human_Study;"...pattern completion – responses to similar items as if repeated..|overlapping input is used
at retrieval as a cue to drive reinstatement of existing traces via pattern completion, increasing overlap between incoming and existing representations";pattern;
Human_Study;"...pattern completion – responses to similar items as if repeated..|overlapping input is used
at retrieval as a cue to drive reinstatement of existing traces via pattern completion, increasing overlap between incoming and existing representations";completion;
Human_Study;"...pattern completion – responses to similar items as if repeated..|overlapping input is used
at retrieval as a cue to drive reinstatement of existing traces via pattern completion, increasing overlap between incoming and existing representations";–;
Human_Study;"...pattern completion – responses to similar items as if repeated..|overlapping input is used
at retrieval as a cue to drive reinstatement of existing traces via pattern completion, increasing overlap between incoming and existing representations";response;
Human_Study;"...pattern completion – responses to similar items as if repeated..|overlapping input is used
at retrieval as a cue to drive reinstatement of existing traces via pattern completion, increasing overlap between incoming and existing representations";similar;
Human_Study;"...pattern completion – responses to similar items as if repeated..|overlapping input is used
at retrieval as a cue to drive reinstatement of existing traces via pattern completion, increasing overlap between incoming and existing representations";item;
Human_Study;"...pattern completion – responses to similar items as if repeated..|overlapping input is used
at retrieval as a cue to drive reinstatement of existing traces via pattern completion, increasing overlap between incoming and existing representations";repeatedoverlapping;
Human_Study;"...pattern completion – responses to similar items as if repeated..|overlapping input is used
at retrieval as a cue to drive reinstatement of existing traces via pattern completion, increasing overlap between incoming and existing representations";input;
Human_Study;"...pattern completion – responses to similar items as if repeated..|overlapping input is used
at retrieval as a cue to drive reinstatement of existing traces via pattern completion, increasing overlap between incoming and existing representations";used;
Human_Study;"...pattern completion – responses to similar items as if repeated..|overlapping input is used
at retrieval as a cue to drive reinstatement of existing traces via pattern completion, increasing overlap between incoming and existing representations";retrieval;
Human_Study;"...pattern completion – responses to similar items as if repeated..|overlapping input is used
at retrieval as a cue to drive reinstatement of existing traces via pattern completion, increasing overlap between incoming and existing representations";cue;
Human_Study;"...pattern completion – responses to similar items as if repeated..|overlapping input is used
at retrieval as a cue to drive reinstatement of existing traces via pattern completion, increasing overlap between incoming and existing representations";drive;
Human_Study;"...pattern completion – responses to similar items as if repeated..|overlapping input is used
at retrieval as a cue to drive reinstatement of existing traces via pattern completion, increasing overlap between incoming and existing representations";reinstatement;
Human_Study;"...pattern completion – responses to similar items as if repeated..|overlapping input is used
at retrieval as a cue to drive reinstatement of existing traces via pattern completion, increasing overlap between incoming and existing representations";existing;
Human_Study;"...pattern completion – responses to similar items as if repeated..|overlapping input is used
at retrieval as a cue to drive reinstatement of existing traces via pattern completion, increasing overlap between incoming and existing representations";trace;
Human_Study;"...pattern completion – responses to similar items as if repeated..|overlapping input is used
at retrieval as a cue to drive reinstatement of existing traces via pattern completion, increasing overlap between incoming and existing representations";via;
Human_Study;"...pattern completion – responses to similar items as if repeated..|overlapping input is used
at retrieval as a cue to drive reinstatement of existing traces via pattern completion, increasing overlap between incoming and existing representations";pattern;
Human_Study;"...pattern completion – responses to similar items as if repeated..|overlapping input is used
at retrieval as a cue to drive reinstatement of existing traces via pattern completion, increasing overlap between incoming and existing representations";completion;
Human_Study;"...pattern completion – responses to similar items as if repeated..|overlapping input is used
at retrieval as a cue to drive reinstatement of existing traces via pattern completion, increasing overlap between incoming and existing representations";increasing;
Human_Study;"...pattern completion – responses to similar items as if repeated..|overlapping input is used
at retrieval as a cue to drive reinstatement of existing traces via pattern completion, increasing overlap between incoming and existing representations";overlap;
Human_Study;"...pattern completion – responses to similar items as if repeated..|overlapping input is used
at retrieval as a cue to drive reinstatement of existing traces via pattern completion, increasing overlap between incoming and existing representations";between;
Human_Study;"...pattern completion – responses to similar items as if repeated..|overlapping input is used
at retrieval as a cue to drive reinstatement of existing traces via pattern completion, increasing overlap between incoming and existing representations";incoming;
Human_Study;"...pattern completion – responses to similar items as if repeated..|overlapping input is used
at retrieval as a cue to drive reinstatement of existing traces via pattern completion, increasing overlap between incoming and existing representations";existing;
Human_Study;"...pattern completion – responses to similar items as if repeated..|overlapping input is used
at retrieval as a cue to drive reinstatement of existing traces via pattern completion, increasing overlap between incoming and existing representations";representation;
Human_Study;"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input.";ability;
Human_Study;"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input.";retrieve;
Human_Study;"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input.";memory;
Human_Study;"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input.";overlap;
Human_Study;"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input.";current;
Human_Study;"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input.";experience;
Human_Study;"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input.";process;
Human_Study;"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input.";known;
Human_Study;"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input.";pattern;
Human_Study;"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input.";completion;
Human_Study;"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input.";successful;
Human_Study;"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input.";memory;
Human_Study;"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input.";retrieval;
Human_Study;"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input.";involves;
Human_Study;"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input.";reinstatement;
Human_Study;"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input.";memory;
Human_Study;"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input.";representation;
Human_Study;"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input.";through;
Human_Study;"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input.";process;
Human_Study;"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input.";known;
Human_Study;"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input.";pattern;
Human_Study;"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input.";completion;
Human_Study;"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input.";specifically;
Human_Study;"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input.";hippocampus;
Human_Study;"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input.";thought;
Human_Study;"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input.";act;
Human_Study;"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input.";autoassociative;
Human_Study;"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input.";network;
Human_Study;"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input.";reinstates;
Human_Study;"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input.";completememory;
Human_Study;"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input.";representation;
Human_Study;"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input.";partial;
Human_Study;"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input.";degraded;
Human_Study;"The ability
to retrieve memories that overlap with current experience, a process known as pattern completion| successful memory retrieval involves reinstatement of memory representations through a process known as pattern completion. Specifically, the hippocampus is thought to act as an auto-associative network that reinstates completememory representations from partial.
or degraded input.";input;
Human_Study; This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).;coherence;
Human_Study; This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).;allows;
Human_Study; This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).;reconstruction;
Human_Study; This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).;different;
Human_Study; This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).;aspect;
Human_Study; This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).;experience;
Human_Study; This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).;when;
Human_Study; This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).;triggered;
Human_Study; This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).;cue;
Human_Study; This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).;related;
Human_Study; This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).;past;
Human_Study; This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).;event—a;
Human_Study; This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).;process;
Human_Study; This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).;pattern;
Human_Study; This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).;completion;
Human_Study; This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).;pattern;
Human_Study; This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).;completion;
Human_Study; This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).;allows;
Human_Study; This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).;recovery;
Human_Study; This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).;entire;
Human_Study; This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).;event;
Human_Study; This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).;basis;
Human_Study; This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).;partial;
Human_Study; This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).;cue;
Human_Study; This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).;so;
Human_Study; This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).;all;
Human_Study; This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).;element;
Human_Study; This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).;within;
Human_Study; This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).;event;
Human_Study; This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).;retrieved;
Human_Study; This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).;not;
Human_Study; This coherence allows for the reconstruction of different aspects of an experience when triggered by a cue related to a past event—a process of pattern completion.|... pattern completion allows for the recovery of the entire event on the basis of a partial cue so that all elements within an event can be retrieved (or not retrieved).;retrieved;
Human_Study;"Pattern completion is the process of restoring entire and accurate neural
representations of such stimuli when presented with a partial or degraded cue.";pattern;
Human_Study;"Pattern completion is the process of restoring entire and accurate neural
representations of such stimuli when presented with a partial or degraded cue.";completion;
Human_Study;"Pattern completion is the process of restoring entire and accurate neural
representations of such stimuli when presented with a partial or degraded cue.";process;
Human_Study;"Pattern completion is the process of restoring entire and accurate neural
representations of such stimuli when presented with a partial or degraded cue.";restoring;
Human_Study;"Pattern completion is the process of restoring entire and accurate neural
representations of such stimuli when presented with a partial or degraded cue.";entire;
Human_Study;"Pattern completion is the process of restoring entire and accurate neural
representations of such stimuli when presented with a partial or degraded cue.";accurate;
Human_Study;"Pattern completion is the process of restoring entire and accurate neural
representations of such stimuli when presented with a partial or degraded cue.";neural;
Human_Study;"Pattern completion is the process of restoring entire and accurate neural
representations of such stimuli when presented with a partial or degraded cue.";representation;
Human_Study;"Pattern completion is the process of restoring entire and accurate neural
representations of such stimuli when presented with a partial or degraded cue.";stimulus;
Human_Study;"Pattern completion is the process of restoring entire and accurate neural
representations of such stimuli when presented with a partial or degraded cue.";when;
Human_Study;"Pattern completion is the process of restoring entire and accurate neural
representations of such stimuli when presented with a partial or degraded cue.";presented;
Human_Study;"Pattern completion is the process of restoring entire and accurate neural
representations of such stimuli when presented with a partial or degraded cue.";partial;
Human_Study;"Pattern completion is the process of restoring entire and accurate neural
representations of such stimuli when presented with a partial or degraded cue.";degraded;
Human_Study;"Pattern completion is the process of restoring entire and accurate neural
representations of such stimuli when presented with a partial or degraded cue.";cue;
Human_Study;;nan;
Human_Study;"...pattern completion – the retrieval of a previously encoded stimulus in response to partial input.|pattern completion, a complementary process by which specific
mnemonic representations are retrieved from incomplete input.";pattern;
Human_Study;"...pattern completion – the retrieval of a previously encoded stimulus in response to partial input.|pattern completion, a complementary process by which specific
mnemonic representations are retrieved from incomplete input.";completion;
Human_Study;"...pattern completion – the retrieval of a previously encoded stimulus in response to partial input.|pattern completion, a complementary process by which specific
mnemonic representations are retrieved from incomplete input.";–;
Human_Study;"...pattern completion – the retrieval of a previously encoded stimulus in response to partial input.|pattern completion, a complementary process by which specific
mnemonic representations are retrieved from incomplete input.";retrieval;
Human_Study;"...pattern completion – the retrieval of a previously encoded stimulus in response to partial input.|pattern completion, a complementary process by which specific
mnemonic representations are retrieved from incomplete input.";previously;
Human_Study;"...pattern completion – the retrieval of a previously encoded stimulus in response to partial input.|pattern completion, a complementary process by which specific
mnemonic representations are retrieved from incomplete input.";encoded;
Human_Study;"...pattern completion – the retrieval of a previously encoded stimulus in response to partial input.|pattern completion, a complementary process by which specific
mnemonic representations are retrieved from incomplete input.";stimulus;
